"Interval start","all","ip.addr==10.0.0.8"
"0.000","840","0"
"1.000","560","0"
"2.000","0","0"
"3.000","609","0"
"4.000","203","0"
"5.000","0","0"
"6.000","0","0"
"7.000","63888","63720"
"8.000","1058940","1058940"
"9.000","1178874","1178874"
"10.000","930690","930690"
"11.000","1079028","1079028"
"12.000","1229742","1229742"
"13.000","1002402","1002402"
"14.000","1080540","1080540"
"15.000","1249392","1249182"
"16.000","1195754","1195614"
"17.000","1145896","1145826"
"18.000","1106206","1106136"
"19.000","1101142","1100736"
"20.000","1111685","1111482"
"21.000","1133352","1133352"
"22.000","997326","997326"
"23.000","1166400","1166400"
"24.000","1212084","1212084"
"25.000","1101060","1101060"
"26.000","1167912","1167912"
"27.000","1180116","1180116"
"28.000","850824","850824"
"29.000","954720","954720"
"30.000","1070820","1070820"
"31.000","1167480","1167480"
"32.000","1072818","1072818"
"33.000","1128276","1128276"
"34.000","1248858","1248858"
"35.000","1072386","1072386"
"36.000","1042848","1042848"
"37.000","1113156","1113156"
"38.000","1032588","1032588"
"39.000","1041336","1041336"
"40.000","1174122","1174122"
"41.000","1024908","1024866"
"42.000","986580","986580"
"43.000","275928","275886"
"44.000","20724","20682"
"45.000","18634","18522"
"46.000","18780","18738"
"47.000","18142","17820"
"48.000","20778","20736"
"49.000","19568","19386"
"50.000","20670","20628"
"51.000","18970","18522"
"52.000","17363","17118"
"53.000","21426","21384"
"54.000","24774","24732"
"55.000","24736","24624"
"56.000","19212","19170"
"57.000","18186","18144"
"58.000","18780","18738"
"59.000","18186","18144"
"60.000","21156","21114"
"61.000","19266","19224"
"62.000","17808","17766"
"63.000","21642","21600"
"64.000","17268","17226"
"65.000","21372","21330"
"66.000","19968","19926"
"67.000","19008","19008"

