"Interval start","All","ip.addr==10.0.0.8"
"0.000","420","0"
"1.000","630","0"
"2.000","70","0"
"3.000","483","0"
"4.000","609","0"
"5.000","0","0"
"6.000","0","0"
"7.000","0","0"
"8.000","276","108"
"9.000","108","108"
"10.000","108","108"
"11.000","108","108"
"12.000","108","108"
"13.000","108","108"
"14.000","178","108"
"15.000","318","108"
"16.000","528","108"
"17.000","318","108"
"18.000","248","108"
"19.000","311","108"
"20.000","717","108"
"21.000","108","108"
"22.000","458","108"
"23.000","108","108"
"24.000","108","108"
"25.000","108","108"
"26.000","108","108"
"27.000","108","108"
"28.000","108","108"
"29.000","108","108"
"30.000","108","108"
"31.000","276","108"
"32.000","108","108"
"33.000","108","108"
"34.000","108","108"
"35.000","108","108"
"36.000","108","108"
"37.000","108","108"
"38.000","108","108"
"39.000","108","108"
"40.000","108","108"
"41.000","108","108"
"42.000","108","108"
"43.000","108","108"
"44.000","248","108"
"45.000","108","108"
"46.000","668","108"
"47.000","108","108"
"48.000","318","108"
"49.000","108","108"
"50.000","248","108"
"51.000","311","108"
"52.000","717","108"
"53.000","108","108"
"54.000","276","108"
"55.000","108","108"
"56.000","108","108"
"57.000","108","108"
"58.000","108","108"
"59.000","458","108"
"60.000","108","108"
"61.000","108","108"
"62.000","108","108"
"63.000","108","108"
"64.000","108","108"
"65.000","108","108"
"66.000","108","108"
"67.000","108","108"

