"Interval start","All packets"
0,560
1,0
2,0
3,0
4,560
5,0
6,1624
7,0
8,0
9,0
10,1120
11,0
12,8.66141e+06
13,1.00004e+07
14,9.99994e+06
15,9.99994e+06
16,9.99994e+06
17,9.99994e+06
18,9.99994e+06
19,9.99994e+06
20,1.00004e+07
21,9.97315e+06
22,9.99994e+06
23,9.99994e+06
24,9.99994e+06
25,9.99994e+06
26,9.99994e+06
27,9.99994e+06
28,1.00004e+07
29,9.99994e+06
30,9.99994e+06
31,9.99994e+06
32,9.99994e+06
33,9.99907e+06
34,1.00004e+07
35,9.98309e+06
36,9.99994e+06
37,9.99994e+06
38,1.00004e+07
39,9.99994e+06
40,9.99994e+06
41,9.93211e+06
42,1.00004e+07
43,9.99994e+06
44,9.99994e+06
45,9.99994e+06
46,9.99994e+06
47,9.99994e+06
48,9.99994e+06
49,1.00004e+07
50,9.99994e+06
51,9.99984e+06
52,2.46144e+06
53,336
54,336
55,336
56,336
57,336
58,336
59,336
60,336
61,336
62,336
63,336
64,336
65,336
66,336
67,336
68,336
69,336
70,336
71,336
72,336
73,336
74,336
75,336
76,336
77,336
78,336
79,336
80,336
81,336
82,336
83,336
84,336
85,0
86,336
87,336
88,336
89,336
90,336
91,336
92,336
93,336
94,336
95,336
96,336
97,336
98,336
99,336
100,336
101,336
102,336
103,336
104,336
105,336
106,336
107,336
108,336
109,336
110,336
111,336
112,336
113,336
114,336
115,336
116,336
117,336
118,336
119,0
120,0
121,0
122,336
123,336
124,336

